ID budynku,Numer kolejny wierzcholka,Dlugosc segmentu przed [m],Dlugosc segmentu po [m],Kat wewnetrzny [deg],Strzalka do boku RECTANGLE_BY_AREA [m],Strzalka do boku RECTANGLE_BY_WIDTH [m],Strzalka do boku CONVEX_HULL [m],Strzalka do boku CIRCLE [m],Strzalka do boku ENVELOPE [m]
PL.PZGIK.BDOT10k.BUBDA.18.6326392,0,63.905,14.612,90.016,0.000,0.000,0.000,0.086,0.000
PL.PZGIK.BDOT10k.BUBDA.18.6326392,1,14.612,35.162,89.987,0.000,0.141,0.000,7.697,9.930
PL.PZGIK.BDOT10k.BUBDA.18.6326392,2,35.162,9.002,268.677,14.614,14.899,14.614,30.605,30.260
PL.PZGIK.BDOT10k.BUBDA.18.6326392,3,9.002,7.921,271.857,23.614,23.897,23.614,39.596,31.420
PL.PZGIK.BDOT10k.BUBDA.18.6326392,4,7.921,35.247,90.036,23.540,23.901,18.729,36.058,26.090
PL.PZGIK.BDOT10k.BUBDA.18.6326392,5,35.247,42.532,89.996,0.423,0.000,0.000,15.428,0.000
PL.PZGIK.BDOT10k.BUBDA.18.6326392,6,42.532,35.241,90.016,0.000,0.000,0.000,0.086,0.000
PL.PZGIK.BDOT10k.BUBDA.18.6326392,7,35.241,6.209,90.047,0.000,0.000,0.000,10.035,13.450
PL.PZGIK.BDOT10k.BUBDA.18.6326392,8,6.209,0.340,269.579,6.208,6.209,6.001,16.104,17.620
PL.PZGIK.BDOT10k.BUBDA.18.6326392,9,0.340,8.942,179.336,6.207,6.211,5.917,16.024,17.370
PL.PZGIK.BDOT10k.BUBDA.18.6326392,10,8.942,0.205,270.253,6.278,6.370,3.788,13.057,10.860
PL.PZGIK.BDOT10k.BUBDA.18.6326392,11,0.205,14.619,90.187,6.073,6.165,3.589,12.876,10.720
PL.PZGIK.BDOT10k.BUBDA.18.6326392,12,14.619,63.905,90.013,0.000,0.000,0.000,4.118,0.000
PL.PZGIK.BDOT10k.BUBDA.18.6326392,13,63.905,14.612,90.016,0.000,0.000,0.000,0.086,0.000
PL.PZGIK.BDOT10k.BUBDA.18.6326392,14,9.052,20.868,271.299,14.612,14.850,14.612,29.784,27.050
PL.PZGIK.BDOT10k.BUBDA.18.6326392,15,20.868,8.976,272.551,9.236,9.328,6.655,15.658,12.870
PL.PZGIK.BDOT10k.BUBDA.18.6326392,16,8.976,20.263,267.215,9.638,9.642,9.248,19.367,19.720
PL.PZGIK.BDOT10k.BUBDA.18.6326392,17,20.263,9.052,268.935,23.662,23.897,23.662,37.664,33.550
PL.PZGIK.BDOT10k.BUBDA.18.6326392,18,9.052,20.868,271.299,14.612,14.850,14.612,29.784,27.050
PL.PZGIK.BDOT10k.BUBDA.18.6326392,19,18.753,17.458,269.998,27.243,26.947,25.020,39.905,28.440
PL.PZGIK.BDOT10k.BUBDA.18.6326392,20,17.458,18.718,270.029,12.532,12.451,12.448,22.842,27.320
PL.PZGIK.BDOT10k.BUBDA.18.6326392,21,18.718,17.449,269.856,8.340,8.216,8.216,14.737,14.750
PL.PZGIK.BDOT10k.BUBDA.18.6326392,22,17.449,18.753,270.117,8.491,8.194,8.194,23.906,14.550
PL.PZGIK.BDOT10k.BUBDA.18.6326392,23,18.753,17.458,269.998,27.243,26.947,25.020,39.905,28.440
